short_ma,short_ma_length,long_ma,long_ma_length,rsi_length,rsi_threshold,total_final_balance
sma,25,ema,40,3,20,20801785.197034094
sma,45,sma,85,3,45,20798509.597690932
sma,80,sma,240,14,40,20794376.56173602
sma,60,sma,240,7,30,20781453.683598198
ema,70,sma,240,7,35,20743393.671041723
ema,70,sma,240,7,40,20742301.60665502
ema,70,sma,240,7,45,20730140.734259173
ema,30,sma,45,7,10,20702421.924029622
ema,30,sma,45,14,15,20700401.643175855
ema,30,sma,45,14,10,20700401.643175855
ema,30,sma,45,14,25,20700052.545124378
ema,30,sma,45,14,20,20700030.837703243
ema,80,sma,240,14,40,20651122.461478606
ema,80,sma,240,14,45,20645077.052366626
ema,65,sma,240,14,40,20638204.357319638
ema,65,sma,240,7,15,20637166.110533766
ema,50,sma,240,7,45,20636052.57617407
ema,50,sma,240,7,40,20632275.13257367
ema,65,sma,240,7,10,20632029.01093972
ema,65,sma,240,14,35,20624487.721106514
ema,50,sma,240,7,35,20610939.536886457
ema,65,sma,240,7,20,20605722.298022565
ema,65,sma,240,3,10,20601984.73835746
ema,20,sma,50,7,40,20576281.38289272
ema,65,sma,240,14,45,20573334.884001587
sma,60,ema,240,14,45,20569576.859054614
ema,65,sma,240,3,15,20553512.64338252
ema,20,sma,50,7,45,20523206.629958812
ema,120,sma,240,14,45,20515569.580536634
ema,75,sma,240,7,30,20503513.170674782
ema,110,sma,240,7,45,20496713.718926672
sma,45,ema,85,7,25,20491433.550584503
ema,75,sma,240,7,35,20484677.04778488
ema,80,ema,110,3,15,20470838.244393654
ema,80,ema,110,3,10,20451150.234676875
sma,15,sma,50,7,30,20438509.125484835
ema,75,sma,240,7,40,20432541.97986354
sma,70,ema,120,7,20,20392851.77657978
sma,75,sma,240,14,40,20392172.291837044
sma,55,sma,65,7,20,20363459.074365865
ema,45,sma,50,3,10,20345425.705225978
ema,25,sma,45,7,45,20336856.015407506
sma,110,sma,240,14,45,20316572.167874917
ema,75,sma,240,7,45,20275775.83807857
sma,55,sma,65,14,35,20248247.29852703
sma,55,sma,65,7,15,20192155.143641144
ema,25,sma,50,14,30,20184095.800268464
ema,25,sma,50,14,25,20181625.824071184
ema,25,sma,50,14,20,20181269.84818685
ema,25,sma,50,14,15,20181201.472829405
ema,25,sma,50,14,10,20181201.472829405
sma,55,sma,65,7,10,20176989.26601606
sma,65,ema,110,7,45,20171637.98010043
sma,55,sma,65,3,10,20169190.425008643
ema,20,sma,40,3,20,20166116.64840726
ema,25,sma,50,7,15,20163700.71473061
ema,25,sma,50,7,10,20162772.12745464
sma,60,sma,240,14,45,20130666.138196275
sma,55,sma,65,3,15,20121025.622919995
ema,65,ema,240,3,40,20115131.2676003
ema,65,ema,240,3,45,20113875.503536366
sma,60,sma,70,7,35,20105284.36767
ema,50,sma,240,7,25,20094829.675388135
sma,75,ema,240,14,40,20088019.07331946
ema,50,sma,240,7,20,20072345.58841871
sma,45,ema,110,7,35,20056270.324626707
ema,50,sma,240,7,15,20054387.74742257
ema,50,sma,240,7,30,20046729.1291762
ema,20,sma,50,7,30,19972152.298077043
ema,20,sma,50,7,35,19970971.395102717
ema,20,sma,45,3,15,19959997.406161785
ema,20,sma,45,3,20,19937326.160583463
sma,25,ema,30,3,45,19923054.619247623
sma,60,sma,70,7,20,19903184.5439759
sma,15,sma,50,7,20,19896044.124355726
sma,60,ema,240,14,10,19891939.357416835
sma,60,ema,240,14,15,19890601.561233815
sma,45,ema,90,14,45,19886637.59189145
sma,15,sma,50,7,15,19881895.91003466
sma,60,ema,240,14,30,19876527.098391254
sma,15,sma,50,7,25,19872279.506377738
sma,15,sma,50,7,10,19855742.312261373
sma,60,ema,240,14,25,19854365.561599277
sma,60,ema,240,14,20,19847019.272881843
sma,70,ema,120,14,45,19841730.263918605
sma,40,ema,120,3,45,19826353.047673505
ema,90,sma,240,7,30,19787333.80144942
sma,55,sma,240,7,15,19712474.392752912
ema,90,sma,240,7,35,19691962.673661955
sma,55,sma,240,14,20,19687568.57511231
sma,55,sma,240,7,10,19677904.26199474
sma,55,sma,240,14,10,19674375.903845377
sma,55,sma,240,14,15,19674228.13582593
sma,55,sma,240,14,25,19669967.497536056
ema,90,sma,240,7,40,19595241.116590608
ema,45,sma,240,3,10,19558731.756851774
ema,80,sma,240,3,35,19548835.252349827
ema,45,sma,240,3,15,19541542.154338744
ema,45,sma,240,3,20,19534155.54181355
ema,90,sma,240,7,45,19484374.020445623
ema,20,sma,45,7,35,19455490.533356395
ema,20,sma,45,7,20,19432881.19391577
ema,20,sma,45,7,30,19414272.65954507
sma,50,sma,240,14,30,19407831.704614308
ema,20,sma,45,7,25,19403704.751230422
ema,20,sma,45,3,25,19401178.36014046
sma,60,ema,240,7,10,19347738.243419103
ema,60,sma,240,3,30,19341704.303928435
sma,60,ema,240,7,15,19332519.70211231
sma,50,sma,240,14,40,19319370.83989541
sma,50,sma,240,14,35,19315805.599926617
ema,45,sma,240,14,45,19311033.26449551
ema,50,sma,55,7,30,19304786.78276205
ema,45,sma,240,14,40,19303017.425181694
ema,90,ema,110,3,45,19276357.617478795
sma,15,sma,50,14,30,19274590.497231115
sma,15,sma,50,14,10,19274332.93604509
sma,15,sma,50,14,15,19274332.93604509
sma,15,sma,50,14,25,19274293.59648241
sma,15,sma,50,14,20,19274279.666486014
sma,15,sma,50,14,35,19273176.81759147
ema,60,sma,240,3,35,19263220.694898687
sma,70,ema,240,14,45,19242324.39191734
ema,60,sma,240,3,40,19239106.456530783
ema,60,sma,240,3,45,19205731.600038
ema,25,sma,45,7,40,19155801.941630557
ema,100,sma,240,7,30,19154439.204369865
sma,60,sma,70,3,35,19145520.683610518
ema,105,sma,240,7,20,19043172.197533652
ema,90,sma,240,14,35,19030900.264319427
ema,90,sma,240,14,40,19023179.19217134
sma,55,sma,80,7,30,19019279.566468697
ema,90,ema,105,7,40,19008669.028911464
sma,40,ema,80,7,45,18996869.633156564
ema,15,sma,55,14,45,18978220.83827657
ema,20,sma,45,7,15,18966043.46736299
sma,55,ema,240,14,45,18938977.580593567
ema,50,sma,240,3,10,18935820.986426417
sma,15,ema,30,3,45,18909854.147316366
sma,55,sma,75,14,35,18907766.93274965
sma,50,sma,75,3,35,18867509.489546478
ema,105,sma,240,7,15,18864428.51466688
ema,95,ema,100,7,40,18847264.831605308
ema,30,sma,50,14,45,18830844.989591777
ema,30,sma,45,3,20,18827663.82120481
ema,80,ema,120,3,40,18718422.322361045
ema,80,ema,120,3,45,18715216.593912322
ema,40,sma,240,7,30,18656526.534227498
ema,40,sma,240,14,35,18640253.466537107
sma,15,ema,30,3,40,18637423.962425593
sma,75,ema,240,14,35,18633094.677303325
sma,60,sma,70,3,30,18625407.749853663
ema,40,sma,240,7,45,18616043.39428901
ema,40,sma,240,14,45,18613658.731521986
ema,30,sma,45,3,15,18610536.95776085
ema,40,sma,240,14,40,18606223.138782486
ema,20,sma,45,7,40,18585129.438986566
ema,40,sma,240,7,35,18584660.24065616
ema,40,sma,240,7,40,18565599.752833568
sma,50,sma,240,7,45,18560805.928122435
ema,20,sma,45,14,40,18545301.73529468
sma,25,ema,40,3,25,18528327.75413485
sma,50,ema,240,7,20,18522610.912149467
ema,65,sma,240,3,20,18520059.551782377
sma,50,ema,240,7,15,18504401.637863386
sma,50,ema,240,7,25,18499471.519726727
sma,50,ema,240,7,10,18497742.885595277
ema,75,sma,240,3,40,18445618.23209513
ema,75,sma,240,3,45,18438664.018111013
sma,15,ema,25,3,15,18431099.289244406
ema,45,sma,55,3,20,18369465.785328355
ema,45,sma,55,3,15,18367672.49304463
ema,25,sma,40,3,45,18319583.452131692
ema,35,sma,40,7,45,18315699.401234526
sma,55,sma,80,7,25,18244095.158306465
ema,55,sma,60,3,45,18238900.69645539
sma,55,sma,80,7,20,18227342.361768063
sma,110,sma,240,14,40,18213253.07106853
sma,75,ema,240,14,45,18213234.59207347
sma,20,sma,45,7,15,18202741.149051685
sma,80,ema,240,3,10,18176577.436892208
ema,50,sma,240,7,10,18169156.17963491
ema,85,ema,120,3,35,18158350.742996864
sma,55,sma,80,7,15,18158217.507085804
sma,80,ema,240,3,15,18143482.909919146
ema,85,ema,120,3,40,18142946.611478105
sma,80,ema,240,3,20,18140337.632046137
ema,85,ema,120,3,30,18138507.53558626
ema,85,ema,120,3,25,18123444.860583153
ema,30,sma,50,14,35,18107440.641657714
ema,85,ema,120,3,45,18107377.260267265
ema,20,sma,45,14,45,18094324.68547641
ema,20,sma,45,3,10,18073380.73184957
ema,30,sma,50,14,40,18069615.281480283
ema,20,sma,45,14,35,18062330.2505564
ema,30,sma,45,3,10,18057176.045898627
ema,20,sma,45,14,10,18050589.627418924
